cost_type,amount,time,stage_name
processing,119811.0941,750.0429,Turning_Milling
wip_holding,1026.9522,750.0429,Turning_Milling
processing,152455.4055,811.0518,Turning_Milling
wip_holding,1306.7606,811.0518,Turning_Milling
processing,44673.793,813.8626,QC_Turning
wip_holding,382.9182,813.8626,QC_Turning
processing,55374.5992,892.9692,Laser_Marking
wip_holding,474.6394,892.9692,Laser_Marking
processing,71860.1358,916.52,QC_Turning
wip_holding,632.8092,916.52,QC_Turning
processing,26162.3667,953.8948,Laser_Marking
wip_holding,224.2489,953.8948,Laser_Marking
processing,225938.764,1215.7389,Lapping
wip_holding,1936.618,1215.7389,Lapping
processing,185610.1369,1219.0521,Lapping
wip_holding,1590.944,1219.0521,Lapping
processing,84615.4388,1339.9313,Round_Grinding
wip_holding,725.2752,1339.9313,Round_Grinding
processing,27209.4291,1378.8019,Final_Inspection
wip_holding,233.2237,1378.8019,Final_Inspection
processing,42000.0,1438.8019,Packing
wip_holding,360.0,1438.8019,Packing
processing,214974.4317,1522.8452,Round_Grinding
wip_holding,1842.638,1522.8452,Round_Grinding
processing,40063.1645,1580.0783,Final_Inspection
wip_holding,343.3986,1580.0783,Final_Inspection
processing,42000.0,1640.0783,Packing
wip_holding,360.0,1640.0783,Packing
processing,448359.1737,1874.5771,Turning_Milling
wip_holding,3843.0786,1874.5771,Turning_Milling
processing,53761.1203,1951.3787,QC_Turning
wip_holding,460.8096,1951.3787,QC_Turning
processing,17208.9612,1975.9629,Laser_Marking
wip_holding,147.5054,1975.9629,Laser_Marking
processing,138432.4279,1978.7222,Turning_Milling
wip_holding,1186.5637,1978.7222,Turning_Milling
processing,30613.0892,2022.4552,QC_Turning
wip_holding,262.3979,2022.4552,QC_Turning
processing,17300.195,2047.1698,Laser_Marking
wip_holding,148.2874,2047.1698,Laser_Marking
processing,82597.8051,2093.9598,Lapping
wip_holding,707.9812,2093.9598,Lapping
processing,59027.9247,2131.4954,Lapping
wip_holding,505.9536,2131.4954,Lapping
processing,32898.2066,2178.4928,Round_Grinding
wip_holding,281.9846,2178.4928,Round_Grinding
processing,53256.4711,2254.5735,Final_Inspection
wip_holding,456.484,2254.5735,Final_Inspection
processing,156820.3461,2262.5596,Turning_Milling
wip_holding,1344.1744,2262.5596,Turning_Milling
processing,42000.0,2314.5735,Packing
wip_holding,360.0,2314.5735,Packing
processing,263403.8502,2470.251,Round_Grinding
wip_holding,2257.7473,2470.251,Round_Grinding
processing,194173.4317,2539.9503,QC_Turning
wip_holding,1664.3437,2539.9503,QC_Turning
processing,38706.0199,2595.2446,Laser_Marking
wip_holding,331.7659,2595.2446,Laser_Marking
processing,12323.4002,2612.8494,Lapping
wip_holding,105.6291,2612.8494,Lapping
processing,100221.4709,2613.4246,Final_Inspection
wip_holding,859.0412,2613.4246,Final_Inspection
processing,42000.0,2673.4246,Packing
wip_holding,360.0,2673.4246,Packing
processing,66131.099,2707.3224,Round_Grinding
wip_holding,566.838,2707.3224,Round_Grinding
processing,120036.9139,2878.8037,Final_Inspection
wip_holding,1028.8878,2878.8037,Final_Inspection
processing,42000.0,2938.8037,Packing
wip_holding,360.0,2938.8037,Packing
processing,132182.9375,3717.4257,Turning_Milling
wip_holding,1132.9966,3717.4257,Turning_Milling
processing,43346.3683,3779.3491,QC_Turning
wip_holding,371.5403,3779.3491,QC_Turning
processing,45840.9854,3844.8362,Laser_Marking
wip_holding,392.9227,3844.8362,Laser_Marking
processing,322529.7806,3895.2214,Turning_Milling
wip_holding,2764.541,3895.2214,Turning_Milling
processing,57724.1485,3927.2993,Lapping
wip_holding,494.7784,3927.2993,Lapping
processing,38405.2154,3950.086,QC_Turning
wip_holding,329.1876,3950.086,QC_Turning
processing,27777.0684,3989.7676,Laser_Marking
wip_holding,238.0892,3989.7676,Laser_Marking
processing,33890.5584,4038.1827,Lapping
wip_holding,290.4905,4038.1827,Lapping
processing,44933.53,4102.3734,Round_Grinding
wip_holding,385.1445,4102.3734,Round_Grinding
processing,106321.7341,4109.3836,Turning_Milling
wip_holding,911.3291,4109.3836,Turning_Milling
processing,15667.0053,4131.7651,QC_Turning
wip_holding,134.2886,4131.7651,QC_Turning
processing,167013.9309,4165.8906,Round_Grinding
wip_holding,1431.548,4165.8906,Round_Grinding
processing,27989.7035,4171.7503,Laser_Marking
wip_holding,239.9117,4171.7503,Laser_Marking
processing,42313.5539,4232.1983,Lapping
wip_holding,362.6876,4232.1983,Lapping
processing,87556.0763,4307.5466,Turning_Milling
wip_holding,750.4807,4307.5466,Turning_Milling
processing,24272.3049,4342.2213,QC_Turning
wip_holding,208.0483,4342.2213,QC_Turning
processing,82176.4901,4349.5933,Round_Grinding
wip_holding,704.3699,4349.5933,Round_Grinding
processing,15218.3535,4363.9618,Laser_Marking
wip_holding,130.443,4363.9618,Laser_Marking
processing,10894.4534,4379.5253,Lapping
wip_holding,93.381,4379.5253,Lapping
processing,13114.2946,4398.26,Round_Grinding
wip_holding,112.4082,4398.26,Round_Grinding
processing,73756.7555,4450.077,Turning_Milling
wip_holding,632.2008,4450.077,Turning_Milling
processing,59262.5808,4534.7378,QC_Turning
wip_holding,507.965,4534.7378,QC_Turning
processing,39351.0735,4590.9537,Laser_Marking
wip_holding,337.2949,4590.9537,Laser_Marking
processing,11252.7478,4607.029,Lapping
wip_holding,96.4521,4607.029,Lapping
processing,424684.6351,4709.0657,Final_Inspection
wip_holding,3640.154,4709.0657,Final_Inspection
processing,68426.5747,4733.3408,Turning_Milling
