product_id,arrival_time,completion_time,cycle_time_min,defect_found
2,593.2583,1438.8019,845.5436,False
1,578.8842,1640.0783,1061.1941,False
4,1780.9616,2314.5735,533.6119,False
3,1234.064,2673.4246,1439.3605,False
5,2038.5306,2938.8037,900.2732,False
6,3434.4646,4769.0657,1334.6011,False
7,3528.5929,4834.7168,1306.1239,False
8,3957.4954,4894.7168,937.2214,False
10,4182.4664,5246.0175,1063.551,False
11,4344.7102,5395.2929,1050.5827,False
12,4635.5886,5456.9639,821.3754,False
13,4682.9764,5544.0596,861.0832,False
9,4101.9252,5661.7794,1559.8542,False
14,4835.1492,5790.7879,955.6386,False
15,4904.7543,5850.7879,946.0336,False
16,5431.6433,6202.6742,771.0308,False
17,6131.7649,6771.2152,639.4502,True
18,7033.9518,8221.7836,1187.8318,False
19,7868.1069,8622.2663,754.1593,False
20,8640.6065,9639.0066,998.4001,True
21,9975.4685,10491.4727,516.0042,False
22,10620.5777,11341.364,720.7864,False
24,11701.6542,12246.1474,544.4933,False
25,11988.3922,12544.5625,556.1703,False
23,11632.6235,12604.5625,971.939,False
26,12388.5593,12912.5736,524.0143,False
27,12443.988,13179.8901,735.9021,False
28,12938.4004,13591.8235,653.4231,False
29,13616.7904,14404.3434,787.553,False
30,13956.5829,15411.1196,1454.5368,False
31,14616.462,15664.1461,1047.684,False
32,15249.5653,15916.0728,666.5075,False
33,15442.5058,16686.3203,1243.8145,False
35,16088.874,16753.5993,664.7254,False
34,15697.3538,17548.0604,1850.7067,False
36,16277.5421,17608.0604,1330.5183,False
37,16554.4189,17809.207,1254.7881,False
38,16788.9882,18277.3893,1488.4012,False
39,17568.4169,18643.0512,1074.6343,True
41,18547.9469,19178.1952,630.2483,False
40,17958.0755,19381.7066,1423.631,False
42,18984.414,19580.5119,596.0979,False
43,20223.0763,20735.299,512.2227,False
44,21045.2928,21623.4148,578.122,False
45,21453.8814,22537.9836,1084.1022,False
46,21636.3926,22597.9836,961.591,False
47,22723.6737,23918.9185,1195.2448,False
48,24806.9128,25806.3708,999.458,False
49,25532.5648,26110.5201,577.9553,False
50,25910.9533,27150.9691,1240.0159,False
51,25953.405,27238.4973,1285.0922,False
53,26765.5684,27863.593,1098.0246,False
52,26654.9191,27982.5795,1327.6604,False
54,27237.298,28283.252,1045.954,False
55,27695.9208,29411.8977,1715.9769,False
56,28586.0975,29763.6239,1177.5264,False
58,29173.0552,29836.2836,663.2284,False
59,29234.4826,29963.9469,729.4643,False
57,28912.7916,30116.5385,1203.7469,False
60,30572.1408,32135.2899,1563.1491,False
61,31326.1958,32248.5237,922.3279,False
62,31491.9683,32605.7872,1113.8188,False
63,32353.4108,33101.6438,748.233,False
64,33208.8615,34608.1314,1399.2699,False
65,33550.2456,34668.1314,1117.8858,False
66,34200.3064,35679.0386,1478.7322,False
67,35393.9902,36653.5862,1259.596,False
68,35410.325,36959.4699,1549.1448,False
69,35716.1278,37019.4699,1303.342,False
70,36371.6775,37375.3719,1003.6945,False
71,36808.2896,37581.0343,772.7447,False
72,37287.6144,38973.9997,1686.3853,False
73,37923.3643,39178.3161,1254.9517,False
74,38029.4566,39386.6603,1357.2037,False
76,38419.9977,39446.6603,1026.6626,False
75,38120.203,39506.6603,1386.4574,False
77,38580.6295,39569.5682,988.9386,False
78,38851.635,39716.7681,865.1331,True
79,40417.5867,41278.8258,861.2391,False
80,40888.8955,41461.155,572.2595,False
81,41235.2265,41851.1053,615.8788,True
83,41967.7246,42580.3623,612.6377,False
82,41836.76,42879.1464,1042.3864,False
85,43431.1426,44406.0713,974.9287,False
84,42733.3711,45468.0604,2734.6893,False
86,44880.5089,45974.6643,1094.1555,False
87,45313.4087,46259.109,945.7003,False
88,47240.8979,48905.1537,1664.2558,False
89,49393.6084,50170.7971,777.1887,False
90,49398.9969,50230.7971,831.8002,False
93,50607.579,50952.4625,344.8834,False
91,50269.6671,51212.5437,942.8766,False
92,50286.7337,51272.5437,985.8099,False
95,50659.1126,51344.3561,685.2435,False
97,50776.8717,51534.3567,757.4851,False
94,50656.1566,51665.6692,1009.5125,False
96,50739.7815,51821.9468,1082.1653,False
98,51333.5433,52494.1974,1160.6541,False
100,51953.2871,52664.0323,710.7452,False
99,51837.5768,53004.9528,1167.3759,False
101,52493.6578,53495.4903,1001.8325,False
103,53002.0091,53679.1156,677.1066,False
102,52953.0402,53739.1156,786.0754,False
105,53881.525,54792.2516,910.7266,False
104,53826.0704,54857.0617,1030.9913,True
106,54142.894,54931.6763,788.7823,True
108,54589.2074,55554.9917,965.7842,False
110,54905.2399,55910.8551,1005.6153,False
109,54691.898,56136.8385,1444.9404,False
107,54490.9523,56196.8385,1705.8862,False
111,56780.0226,57692.1537,912.131,False
112,57548.1954,58586.6221,1038.4267,False
113,58255.2538,58930.1454,674.8916,False
114,59021.1732,59948.0126,926.8393,False
115,59861.6992,60781.4892,919.79,False
117,61509.3128,62154.3239,645.0111,False
116,61153.2277,62376.5681,1223.3404,False
118,62535.0294,63259.0947,724.0653,False
119,62763.6147,63927.1111,1163.4964,False
120,62949.9261,64400.8599,1450.9338,False
121,63869.4677,64678.5729,809.1052,False
122,64293.6709,65150.7166,857.0457,True
123,65184.3396,65966.1731,781.8335,False
124,65569.9026,66317.5684,747.6659,False
125,67289.1665,68223.3497,934.1832,False
127,67600.9887,68283.3497,682.361,False
126,67484.9795,68662.5078,1177.5283,False
128,68225.8178,68845.0638,619.2459,False
129,68529.5386,69361.3881,831.8496,False
130,69779.9747,70774.3894,994.4148,False
131,70472.0635,71250.8204,778.7569,False
132,70749.3906,71957.005,1207.6144,False
133,71577.474,72519.5007,942.0266,False
134,72400.4571,73181.7872,781.33,False
135,73587.3674,74337.382,750.0145,False
137,74839.7239,75614.444,774.7201,True
136,74837.0426,75861.7228,1024.6801,False
140,75992.7372,76587.3145,594.5773,False
138,75660.3149,76746.5382,1086.2233,False
139,75912.9189,76814.7995,901.8806,False
141,76251.8802,77466.785,1214.9048,False
143,76752.6835,77580.8823,828.1989,False
142,76557.8667,77816.6617,1258.795,False
146,78739.344,79408.0208,668.6769,False
144,78613.152,79492.7101,879.5581,False
145,78710.0255,79695.7676,985.7421,False
147,78891.3655,80023.9397,1132.5741,False
148,79281.7531,80461.4375,1179.6844,False
149,79786.0918,81430.6426,1644.5508,False
151,80721.4332,81792.6078,1071.1746,False
150,80088.1704,81861.5738,1773.4034,False
