time_min,wip
0.0,0
578.8842,1
593.2583,2
1234.064,3
1438.8019,2
1640.0783,1
1780.9616,2
2038.5306,3
2314.5735,2
2673.4246,1
2938.8037,0
3434.4646,1
3528.5929,2
3957.4954,3
4101.9252,4
4182.4664,5
4344.7102,6
4635.5886,7
4682.9764,8
4769.0657,7
4834.7168,6
4835.1492,7
4894.7168,6
4904.7543,7
5246.0175,6
5395.2929,5
5431.6433,6
5456.9639,5
5544.0596,4
5661.7794,3
5790.7879,2
5850.7879,1
6131.7649,2
6202.6742,1
6771.2152,0
7033.9518,1
7868.1069,2
8221.7836,1
8622.2663,0
8640.6065,1
9639.0066,0
9975.4685,1
10491.4727,0
10620.5777,1
11341.364,0
11632.6235,1
11701.6542,2
11988.3922,3
12246.1474,2
12388.5593,3
12443.988,4
12544.5625,3
12604.5625,2
12912.5736,1
12938.4004,2
13179.8901,1
13591.8235,0
13616.7904,1
13956.5829,2
14404.3434,1
14616.462,2
15249.5653,3
15411.1196,2
15442.5058,3
15664.1461,2
15697.3538,3
15916.0728,2
16088.874,3
16277.5421,4
16554.4189,5
16686.3203,4
16753.5993,3
16788.9882,4
17548.0604,3
17568.4169,4
17608.0604,3
17809.207,2
17958.0755,3
18277.3893,2
18547.9469,3
18643.0512,2
18984.414,3
19178.1952,2
19381.7066,1
19580.5119,0
20223.0763,1
20735.299,0
21045.2928,1
21453.8814,2
21623.4148,1
21636.3926,2
22537.9836,1
22597.9836,0
22723.6737,1
23918.9185,0
24806.9128,1
25532.5648,2
25806.3708,1
25910.9533,2
25953.405,3
26110.5201,2
26654.9191,3
26765.5684,4
27150.9691,3
27237.298,4
27238.4973,3
27695.9208,4
27863.593,3
27982.5795,2
28283.252,1
28586.0975,2
28912.7916,3
29173.0552,4
29234.4826,5
29411.8977,4
29763.6239,3
29836.2836,2
29963.9469,1
30116.5385,0
30572.1408,1
31326.1958,2
31491.9683,3
32135.2899,2
32248.5237,1
32353.4108,2
32605.7872,1
33101.6438,0
33208.8615,1
33550.2456,2
34200.3064,3
34608.1314,2
34668.1314,1
35393.9902,2
35410.325,3
35679.0386,2
35716.1278,3
36371.6775,4
36653.5862,3
36808.2896,4
36959.4699,3
37019.4699,2
37287.6144,3
37375.3719,2
37581.0343,1
37923.3643,2
38029.4566,3
38120.203,4
38419.9977,5
38580.6295,6
38851.635,7
38973.9997,6
39178.3161,5
39386.6603,4
39446.6603,3
39506.6603,2
39569.5682,1
39716.7681,0
40417.5867,1
40888.8955,2
41235.2265,3
41278.8258,2
41461.155,1
41836.76,2
41851.1053,1
41967.7246,2
42580.3623,1
42733.3711,2
42879.1464,1
43431.1426,2
44406.0713,1
44880.5089,2
45313.4087,3
45468.0604,2
45974.6643,1
46259.109,0
47240.8979,1
48905.1537,0
49393.6084,1
49398.9969,2
50170.7971,1
50230.7971,0
50269.6671,1
50286.7337,2
50607.579,3
50656.1566,4
50659.1126,5
50739.7815,6
50776.8717,7
50952.4625,6
51212.5437,5
51272.5437,4
51333.5433,5
51344.3561,4
51534.3567,3
51665.6692,2
51821.9468,1
51837.5768,2
51953.2871,3
52493.6578,4
52494.1974,3
52664.0323,2
52953.0402,3
53002.0091,4
53004.9528,3
53495.4903,2
53679.1156,1
53739.1156,0
53826.0704,1
53881.525,2
54142.894,3
54490.9523,4
54589.2074,5
54691.898,6
54792.2516,5
54857.0617,4
54905.2399,5
54931.6763,4
55554.9917,3
55910.8551,2
56136.8385,1
56196.8385,0
56780.0226,1
57548.1954,2
57692.1537,1
58255.2538,2
58586.6221,1
58930.1454,0
59021.1732,1
59861.6992,2
59948.0126,1
60781.4892,0
61153.2277,1
61509.3128,2
62154.3239,1
62376.5681,0
62535.0294,1
62763.6147,2
62949.9261,3
63259.0947,2
63869.4677,3
63927.1111,2
64293.6709,3
64400.8599,2
64678.5729,1
65150.7166,0
65184.3396,1
65569.9026,2
65966.1731,1
66317.5684,0
67289.1665,1
67484.9795,2
67600.9887,3
68223.3497,2
68225.8178,3
68283.3497,2
68529.5386,3
68662.5078,2
68845.0638,1
69361.3881,0
69779.9747,1
70472.0635,2
70749.3906,3
70774.3894,2
71250.8204,1
71577.474,2
71957.005,1
72400.4571,2
72519.5007,1
73181.7872,0
73587.3674,1
74337.382,0
74837.0426,1
74839.7239,2
75614.444,1
75660.3149,2
75861.7228,1
75912.9189,2
75992.7372,3
76251.8802,4
76557.8667,5
76587.3145,4
76746.5382,3
76752.6835,4
76814.7995,3
77466.785,2
77580.8823,1
77816.6617,0
78613.152,1
78710.0255,2
78739.344,3
78891.3655,4
79281.7531,5
79408.0208,4
79492.7101,3
79695.7676,2
79786.0918,3
80023.9397,2
80088.1704,3
80461.4375,2
80721.4332,3
81430.6426,2
81516.3727,3
81595.4474,4
81792.6078,3
81816.51,4
81861.5738,3
81958.3842,4
82480.9388,3
82547.4325,2
82609.5559,3
82652.3221,4
82863.8883,3
82950.4585,2
83265.7549,3
83568.6056,2
84048.6233,3
84200.286,2
84308.5773,1
84717.191,0
85241.9617,1
86081.3198,2
86221.4631,3
86276.8552,2
86352.9229,3
86575.1941,4
86843.129,5
87075.5441,4
87290.2332,3
87369.13,4
87421.1592,3
87769.431,2
87797.3838,3
87980.9059,2
88040.9059,1
88400.5774,2
88607.0416,1
89094.3223,2
89592.2199,1
89610.7427,2
89788.7673,1
89853.5515,2
89896.1932,3
90366.2012,4
90720.3546,3
90780.3546,2
90992.6022,1
91210.6714,0
91536.1267,1
92237.1394,0
92629.35,1
92831.7907,2
93413.1738,1
93473.1738,0
93497.4323,1
94491.2998,0
94624.6932,1
94720.4551,2
94881.7481,3
95248.6703,4
95669.3031,5
95743.014,4
95923.4317,3
95983.4317,2
96153.7157,1
96490.0256,2
96951.8746,1
97139.2182,2
97144.1594,1
97696.0391,2
97846.3382,3
97968.0038,4
98166.1479,5
98365.0635,6
98431.4925,7
98488.1463,6
98696.4041,5
98762.1425,4
98822.8254,3
98882.8254,2
98959.9977,3
99209.4265,4
99407.8474,3
99740.8715,2
99814.2634,1
99874.2634,0
99954.1347,1
100078.0084,2
100120.1963,3
100173.4649,4
100392.9449,5
100419.002,6
100870.8063,5
101223.5571,6
101279.4616,5
101349.4402,4
101409.4402,3
101469.4402,2
101702.0782,1
102224.9533,0
102497.9034,1
102769.5313,2
103056.8641,1
103571.3985,0
103765.2226,1
104433.0217,2
104707.3275,1
104767.3275,0
105585.7128,1
106134.4674,2
106647.3692,3
106872.1804,2
106951.4252,1
107322.7889,2
107480.5699,1
108022.5243,2
108052.1718,1
108459.4755,2
109182.2535,1
109192.0351,2
109279.8056,3
109282.1428,4
109308.9504,5
109390.5858,4
109797.9694,5
110162.641,4
110222.641,3
110321.1594,2
110342.5248,3
110473.7211,2
110892.9368,3
111012.0589,2
111401.9207,3
111577.8174,2
112051.246,3
112264.6537,2
112268.5488,3
112277.5337,4
112905.8386,3
112965.8386,2
113041.0627,1
113434.6349,0
114903.4553,1
114911.5733,2
115004.5615,3
115626.0993,2
115689.2838,3
115921.631,2
115922.8632,3
